hostname,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,time
scn-GE72-2QD,2.14,2.06,2.13,2.22,1.84,1.57,1.95,1.46,1492021176411
scn-GE72-2QD,2.14,2.06,2.12,2.21,1.84,1.56,1.95,1.46,1492021181418
scn-GE72-2QD,2.14,2.06,2.12,2.21,1.83,1.56,1.95,1.46,1492021186425
scn-GE72-2QD,2.13,2.05,2.12,2.21,1.83,1.56,1.95,1.46,1492021191432
scn-GE72-2QD,2.13,2.05,2.11,2.21,1.83,1.56,1.94,1.46,1492021196439
scn-GE72-2QD,2.13,2.05,2.11,2.2,1.83,1.56,1.94,1.46,1492021201446
scn-GE72-2QD,2.13,2.05,2.11,2.2,1.82,1.55,1.94,1.45,1492021206453
scn-GE72-2QD,2.12,2.04,2.11,2.2,1.82,1.55,1.93,1.45,1492021211460
scn-GE72-2QD,2.12,2.04,2.11,2.19,1.82,1.55,1.93,1.45,1492021216467
scn-GE72-2QD,2.12,2.04,2.11,2.19,1.82,1.55,1.93,1.45,1492021221474
scn-GE72-2QD,2.12,2.04,2.1,2.19,1.81,1.55,1.93,1.45,1492021226481
scn-GE72-2QD,2.12,2.04,2.1,2.19,1.82,1.55,1.93,1.44,1492021231486
scn-GE72-2QD,2.11,2.03,2.1,2.19,1.81,1.55,1.93,1.44,1492021236492
scn-GE72-2QD,2.11,2.03,2.1,2.18,1.81,1.55,1.92,1.44,1492021241498
scn-GE72-2QD,2.11,2.03,2.1,2.18,1.81,1.55,1.92,1.44,1492021246504
scn-GE72-2QD,2.12,2.03,2.1,2.19,1.81,1.55,1.92,1.44,1492021251518
scn-GE72-2QD,2.11,2.03,2.1,2.18,1.81,1.55,1.92,1.44,1492021256525
scn-GE72-2QD,2.11,2.03,2.09,2.18,1.81,1.55,1.92,1.44,1492021261530
scn-GE72-2QD,2.11,2.03,2.1,2.18,1.81,1.55,1.92,1.43,1492021266534
scn-GE72-2QD,2.1,2.02,2.09,2.17,1.8,1.54,1.91,1.43,1492021271542
scn-GE72-2QD,2.11,2.02,2.09,2.18,1.81,1.54,1.91,1.43,1492021276548
scn-GE72-2QD,2.06,1.99,1.99,1.99,1.84,1.33,1.48,1.19,1492160169485
scn-GE72-2QD,2.07,2,2.01,2.01,1.87,1.34,1.49,1.21,1492160665423
scn-GE72-2QD,2.07,2,2.01,2.01,1.87,1.34,1.49,1.21,1492160738596
scn-GE72-2QD,2.07,2,2.01,2.01,1.87,1.34,1.49,1.21,1492160743608
scn-GE72-2QD,2.07,2,2.01,2.01,1.87,1.34,1.49,1.21,1492160748617
scn-GE72-2QD,2.07,2.01,2.01,2.01,1.87,1.34,1.49,1.21,1492160753626
scn-GE72-2QD,2.08,2.01,2.01,2.02,1.88,1.34,1.49,1.21,1492160758632
scn-GE72-2QD,2.08,2.01,2.02,2.02,1.88,1.34,1.49,1.21,1492160763639
scn-GE72-2QD,1.67,4.34,4.3,4.24,3.25,2.77,2.91,2.69,1492226791611
scn-GE72-2QD,1.67,4.34,4.3,4.24,3.25,2.77,2.9,2.69,1492226796622
scn-GE72-2QD,1.67,4.34,4.3,4.24,3.25,2.77,2.91,2.69,1492226801631
scn-GE72-2QD,1.67,4.34,4.3,4.24,3.25,2.77,2.9,2.69,1492226806640
scn-GE72-2QD,1.67,4.34,4.3,4.24,3.24,2.77,2.9,2.69,1492226811644
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399105682
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399110694
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399115700
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399120708
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399125715
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399130718
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399135725
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399140732
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399145734
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399150739
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399155744
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399160750
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399165756
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399170763
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399175767
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399180771
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399185775
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399190779
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399195783
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399200787
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399205791
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399210795
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399215797
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399220802
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399225808
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399230814
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399235821
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399240825
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399245833
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399250841
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399255848
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399260854
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399265857
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399270864
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399275870
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399280875
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399285881
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399290888
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399295895
scn-GE72-2QD,2.63,2.89,2.8,2.82,2.47,2.08,1.95,2.08,1492403188554
