1475521912449,	27.8
1475521914449,	27.8
1475521916452,	27.8
1475521918455,	27.8
1475521920459,	27.8
1489764000704	52
1489764002719	51
1489764004723	51
1489764006727	51
1489764008731	55
1489764010739	52
1489764012747	52
1489764014751	52
1489764016759	52
1489764018763	52
1489764020767	52
1489764022771	52
1489764024779	52
1489764050102	52
1489764052123	52
1489764054127	52
1489764056139	52
1489764058147	52
1489764060151	52
1489764062155	51
1489764064167	52
1489764066171	52
1489764068175	52
1489764070179	52
1489764072187	51
1489764074191	51
1489764076199	51
1489764078203	51
1489764080211	51
1489764082215	51
1489764084223	51
1489764086231	51
1489764088235	51
1489764090243	51
1489764092251	51
1489764101031	51
1489764103055	52
1489764105067	52
1489764107071	53
1489764109075	52
1489764111083	52
1489764113087	52
1489764115095	53
1489764117103	52
1489764119108	52
1489764121115	52
1489764123119	52
1489764125127	52
1489764127131	52
1489764129139	52
1489764131143	52
1489764133147	52
1489764135155	52
1489764137159	52
1489764139163	52
1489764141171	52
1489764143175	52
1489764145183	52
1489764147191	52
